,Real,Imaginario,Map,oReal,oImaginario
364,3.0791932160590436,2.9768593872241134,10.0,3.0,3.0
365,-1.570452986889815,-2.0752214790664647,4.0,-1.0,-3.0
366,-2.9578118525451997,0.3966680459824691,3.0,-3.0,1.0
367,-0.6849435176316537,2.510373916463879,6.0,-1.0,3.0
368,3.188013465405224,1.127246954506947,11.0,3.0,1.0
369,0.8207820493278082,0.3600329435966926,15.0,1.0,1.0
370,-3.0831035381466116,-1.708799000601792,1.0,-3.0,-1.0
371,-4.009968103979543,1.4974953566773546,3.0,-3.0,1.0
372,-3.9100645514420904,1.6087464431806922,3.0,-3.0,1.0
373,0.024702516622905124,2.983568403377646,14.0,1.0,3.0
374,3.1912146389159686,2.163589291974705,10.0,3.0,3.0
375,3.853877274863885,-0.22976765909538277,11.0,3.0,1.0
376,0.7608534028065772,-0.7130014523491837,13.0,1.0,-1.0
377,-2.1498880927978465,2.2619696648569563,3.0,-3.0,1.0
378,-1.9089662575988533,-0.1474745735738232,7.0,-1.0,1.0
379,-0.5596468943135372,3.5955829818257357,6.0,-1.0,3.0
380,2.4356792059050827,-0.7126547362162563,9.0,3.0,-1.0
381,1.8445736278501914,0.9876738154549711,15.0,1.0,1.0
382,3.858308794450423,-1.1109514971965657,9.0,3.0,-1.0
383,1.0235544570478698,0.4917295853446937,13.0,1.0,-1.0
384,3.778986972830041,2.7088590488540647,10.0,3.0,3.0
385,4.5513298271063976,0.4191836149497359,9.0,3.0,-1.0
386,-3.834919583489427,3.3023491035955534,2.0,-3.0,3.0
387,2.331190624110097,-3.5281636759283876,8.0,3.0,-3.0
388,-0.808377366424026,1.5946708249580492,7.0,-1.0,1.0
389,-1.7880322590127784,-2.0593477333313244,0.0,-3.0,-3.0
390,-1.685174601864912,1.140542757148281,7.0,-1.0,1.0
391,2.0462106203948878,-1.8553455092013984,8.0,3.0,-3.0
392,3.4142638794622977,-0.4957565497723423,9.0,3.0,-1.0
393,-2.421753936193129,1.6393617903593483,3.0,-3.0,1.0
394,1.2797572891643059,1.9074003044864876,15.0,1.0,1.0
395,1.5182878803958895,2.2040519986513556,14.0,1.0,3.0
396,1.8463141807944403,-1.6499471117430309,9.0,3.0,-1.0
397,1.5351394898439377,-0.5709940874685182,13.0,1.0,-1.0
398,-0.6126431423823037,0.5975669726421327,7.0,-1.0,1.0
399,4.338707932511186,-0.5034129789399924,11.0,3.0,1.0
400,2.4036132747692482,2.691292171861112,10.0,3.0,3.0
401,-2.8370007024678046,-0.5029218087603715,3.0,-3.0,1.0
402,1.625395240180644,1.5714641405780048,15.0,1.0,1.0
403,-1.7026730507132681,4.45565088192218,6.0,-1.0,3.0
404,-2.2848555052176067,-1.8032214274164877,5.0,-1.0,-1.0
405,3.211232135630841,-1.0651368832271213,12.0,1.0,-3.0
406,1.781224802889962,-0.11273653498286818,13.0,1.0,-1.0
407,-3.481620199503018,0.7260897478972805,3.0,-3.0,1.0
408,3.3398661114994317,3.293797136354117,10.0,3.0,3.0
409,-3.7074331263032283,-1.5795771166155284,1.0,-3.0,-1.0
410,-1.4625647429726563,-3.2006852005807844,4.0,-1.0,-3.0
411,2.611923192310466,-1.5237310400175208,9.0,3.0,-1.0
412,2.345392312355225,-0.7819582165121497,13.0,1.0,-1.0
413,-2.8920765009337384,-2.9601150328002745,0.0,-3.0,-3.0
414,3.6668207097102887,-3.1280820899778847,8.0,3.0,-3.0
